Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-04-01,61,49,55.0,9.2,10,0,0.22,0.0,0
2023-04-02,52,37,44.5,-1.7,20,0,0.0,0.0,0
2023-04-03,53,33,43.0,-3.5,22,0,0.0,0.0,0
2023-04-04,64,43,53.5,6.7,11,0,0.0,0.0,0
2023-04-05,54,48,51.0,3.8,14,0,T,0.0,0
2023-04-06,74,48,61.0,13.5,4,0,0.02,0.0,0
2023-04-07,58,43,50.5,2.6,14,0,0.0,0.0,0
2023-04-08,51,38,44.5,-3.7,20,0,0.0,0.0,0
2023-04-09,51,38,44.5,-4.1,20,0,0.0,0.0,0
2023-04-10,58,38,48.0,-0.9,17,0,0.0,0.0,0
2023-04-11,73,45,59.0,9.7,6,0,0.0,0.0,0
2023-04-12,84,56,70.0,20.3,0,5,0.0,0.0,0
2023-04-13,85,53,69.0,19.0,0,4,0.0,0.0,0
2023-04-14,82,55,68.5,18.1,0,4,0.0,0.0,0
2023-04-15,65,54,59.5,8.8,5,0,0.02,0.0,0
2023-04-16,66,52,59.0,7.9,6,0,0.0,0.0,0
2023-04-17,67,53,60.0,8.6,5,0,0.01,0.0,0
2023-04-18,58,45,51.5,-0.3,13,0,0.0,0.0,0
2023-04-19,64,43,53.5,1.4,11,0,0.0,0.0,0
2023-04-20,59,43,51.0,-1.5,14,0,T,0.0,0
2023-04-21,66,47,56.5,3.7,8,0,0.0,0.0,0
2023-04-22,65,53,59.0,5.9,6,0,1.02,0.0,0
2023-04-23,69,51,60.0,6.5,5,0,1.26,0.0,0
2023-04-24,59,44,51.5,-2.3,13,0,0.0,0.0,0
2023-04-25,58,45,51.5,-2.6,13,0,0.0,0.0,0
2023-04-26,56,42,49.0,-5.5,16,0,0.0,0.0,0
2023-04-27,57,48,52.5,-2.3,12,0,T,0.0,0
2023-04-28,54,46,50.0,-5.1,15,0,0.37,0.0,0
2023-04-29,52,48,50.0,-5.4,15,0,1.75,0.0,0
2023-04-30,59,50,54.5,-1.2,10,0,1.36,0.0,0
2023-03-01,43,29,36.0,-1.4,29,0,0.02,0.0,T
2023-03-02,55,39,47.0,9.4,18,0,T,0.0,0
2023-03-03,45,32,38.5,0.7,26,0,0.11,0.0,0
2023-03-04,46,39,42.5,4.5,22,0,0.83,0.0,0
2023-03-05,56,36,46.0,7.7,19,0,0.0,0.0,0
2023-03-06,54,39,46.5,8.0,18,0,0.0,0.0,0
2023-03-07,48,32,40.0,1.3,25,0,0.08,0.0,0
2023-03-08,47,30,38.5,-0.5,26,0,0.0,0.0,0
2023-03-09,51,33,42.0,2.8,23,0,0.0,0.0,0
2023-03-10,45,33,39.0,-0.5,26,0,0.37,0.0,0
2023-03-11,44,35,39.5,-0.2,25,0,0.46,0.0,0
2023-03-12,46,32,39.0,-1.0,26,0,0.0,0.0,0
2023-03-13,43,38,40.5,0.3,24,0,1.1,0.0,0
2023-03-14,39,33,36.0,-4.5,29,0,0.08,0.0,0
2023-03-15,47,34,40.5,-0.2,24,0,0.0,0.0,0
2023-03-16,55,32,43.5,2.5,21,0,0.0,0.0,0
2023-03-17,56,39,47.5,6.2,17,0,T,0.0,0
2023-03-18,52,41,46.5,5.0,18,0,0.02,0.0,0
2023-03-19,41,30,35.5,-6.3,29,0,0.0,0.0,0
2023-03-20,44,31,37.5,-4.6,27,0,0.0,0.0,0
2023-03-21,58,32,45.0,2.6,20,0,0.0,0.0,0
2023-03-22,55,36,45.5,2.8,19,0,0.0,0.0,0
2023-03-23,59,43,51.0,8.0,14,0,0.08,0.0,0
2023-03-24,57,41,49.0,5.7,16,0,0.01,0.0,0
2023-03-25,45,39,42.0,-1.6,23,0,0.1,0.0,0
2023-03-26,62,43,52.5,8.6,12,0,T,0.0,0
2023-03-27,57,39,48.0,3.8,17,0,0.16,0.0,0
2023-03-28,52,39,45.5,1.0,19,0,0.02,0.0,0
2023-03-29,51,36,43.5,-1.3,21,0,T,0.0,0
2023-03-30,46,31,38.5,-6.7,26,0,0.02,0.0,0
2023-03-31,53,29,41.0,-4.5,24,0,0.0,T,0
2023-02-01,38,26,32.0,-0.5,33,0,0.02,0.2,T
2023-02-02,39,24,31.5,-1.1,33,0,0.0,0.0,0
2023-02-03,35,11,23.0,-9.7,42,0,0.0,0.0,0
2023-02-04,27,4,15.5,-17.3,49,0,0.0,0.0,0
2023-02-05,44,27,35.5,2.6,29,0,0.0,0.0,0
2023-02-06,53,32,42.5,9.4,22,0,0.0,0.0,0
2023-02-07,41,28,34.5,1.3,30,0,0.02,0.0,0
2023-02-08,54,34,44.0,10.7,21,0,0.01,0.0,0
2023-02-09,50,30,40.0,6.5,25,0,0.0,0.0,0
2023-02-10,60,41,50.5,16.9,14,0,0.0,0.0,0
2023-02-11,47,35,41.0,7.2,24,0,0.0,0.0,0
2023-02-12,45,31,38.0,4.0,27,0,0.04,T,0
2023-02-13,56,38,47.0,12.9,18,0,T,0.0,0
2023-02-14,53,41,47.0,12.7,18,0,0.0,0.0,0
2023-02-15,55,41,48.0,13.5,17,0,0.0,0.0,0
2023-02-16,64,43,53.5,18.8,11,0,0.08,0.0,0
2023-02-17,56,31,43.5,8.6,21,0,0.37,0.0,0
2023-02-18,42,28,35.0,0.0,30,0,0.0,0.0,0
2023-02-19,46,32,39.0,3.8,26,0,0.0,0.0,0
2023-02-20,61,40,50.5,15.1,14,0,0.0,0.0,0
2023-02-21,49,36,42.5,6.9,22,0,0.19,0.0,0
2023-02-22,44,35,39.5,3.6,25,0,0.17,T,0
2023-02-23,44,38,41.0,4.9,24,0,0.03,0.0,0
2023-02-24,48,25,36.5,0.2,28,0,T,0.0,0
2023-02-25,33,22,27.5,-9.0,37,0,T,T,0
2023-02-26,50,23,36.5,-0.2,28,0,0.0,0.0,0
2023-02-27,43,31,37.0,0.1,28,0,0.32,1.0,0
2023-02-28,38,32,35.0,-2.1,30,0,0.29,0.5,2
2023-01-01,56,42,49.0,14.4,16,0,T,0.0,0
2023-01-02,55,39,47.0,12.6,18,0,0.02,0.0,0
2023-01-03,50,46,48.0,13.8,17,0,0.36,0.0,0
2023-01-04,61,45,53.0,19.0,12,0,0.01,0.0,0
2023-01-05,51,45,48.0,14.1,17,0,0.05,0.0,0
2023-01-06,47,39,43.0,9.3,22,0,0.25,0.0,0
2023-01-07,47,36,41.5,8.0,23,0,0.0,0.0,0
2023-01-08,41,32,36.5,3.1,28,0,0.0,0.0,0
2023-01-09,46,37,41.5,8.3,23,0,0.02,0.0,0
2023-01-10,41,35,38.0,4.9,27,0,0.0,0.0,0
2023-01-11,40,32,36.0,3.0,29,0,0.0,0.0,0
2023-01-12,53,36,44.5,11.6,20,0,0.27,0.0,0
2023-01-13,52,38,45.0,12.3,20,0,0.03,0.0,0
2023-01-14,38,30,34.0,1.4,31,0,T,0.0,0
2023-01-15,39,29,34.0,1.4,31,0,T,0.0,0
2023-01-16,48,29,38.5,6.0,26,0,0.0,0.0,0
2023-01-17,45,31,38.0,5.6,27,0,T,0.0,0
2023-01-18,56,37,46.5,14.2,18,0,T,0.0,0
2023-01-19,45,37,41.0,8.7,24,0,0.96,0.0,0
2023-01-20,50,39,44.5,12.3,20,0,0.0,0.0,0
2023-01-21,43,36,39.5,7.3,25,0,T,0.0,0
2023-01-22,40,36,38.0,5.8,27,0,0.47,0.0,0
2023-01-23,39,35,37.0,4.8,28,0,0.24,0.0,0
2023-01-24,48,35,41.5,9.3,23,0,0.0,0.0,0
2023-01-25,52,31,41.5,9.3,23,0,0.97,0.0,0
2023-01-26,52,40,46.0,13.8,19,0,0.23,0.0,0
2023-01-27,43,32,37.5,5.3,27,0,0.0,0.0,0
2023-01-28,53,33,43.0,10.7,22,0,0.0,0.0,0
2023-01-29,47,35,41.0,8.7,24,0,T,0.0,0
2023-01-30,52,36,44.0,11.6,21,0,0.0,T,0
2023-01-31,45,31,38.0,5.5,27,0,0.03,T,0
2022-12-01,44,35,39.5,-2.6,25,0,0.0,0.0,0
2022-12-02,45,31,38.0,-3.8,27,0,0.0,0.0,0
2022-12-03,57,44,50.5,9.0,14,0,0.23,0.0,0
2022-12-04,47,37,42.0,0.7,23,0,0.0,0.0,0
2022-12-05,47,30,38.5,-2.5,26,0,0.0,0.0,0
2022-12-06,57,36,46.5,5.8,18,0,0.43,0.0,0
2022-12-07,57,54,55.5,15.0,9,0,0.31,0.0,0
2022-12-08,55,42,48.5,8.3,16,0,0.0,0.0,0
2022-12-09,47,34,40.5,0.6,24,0,0.0,0.0,0
2022-12-10,39,32,35.5,-4.2,29,0,0.0,0.0,0
2022-12-11,41,33,37.0,-2.4,28,0,0.18,0.0,0
2022-12-12,40,29,34.5,-4.7,30,0,0.03,0.0,0
2022-12-13,42,27,34.5,-4.4,30,0,0.0,0.0,0
2022-12-14,40,30,35.0,-3.6,30,0,0.0,0.0,0
2022-12-15,43,32,37.5,-0.9,27,0,0.6,0.0,0
2022-12-16,47,38,42.5,4.3,22,0,0.68,0.0,0
2022-12-17,47,36,41.5,3.6,23,0,0.0,0.0,0
2022-12-18,41,33,37.0,-0.7,28,0,0.0,0.0,0
2022-12-19,40,31,35.5,-1.9,29,0,0.0,0.0,0
2022-12-20,40,30,35.0,-2.2,30,0,0.0,0.0,0
2022-12-21,41,25,33.0,-3.9,32,0,0.0,0.0,0
2022-12-22,53,28,40.5,3.8,24,0,0.14,0.0,0
2022-12-23,56,9,32.5,-4.0,32,0,0.3,0.0,0
2022-12-24,16,7,11.5,-24.8,53,0,T,0.0,0
2022-12-25,28,14,21.0,-15.0,44,0,0.0,0.0,0
2022-12-26,29,18,23.5,-12.3,41,0,0.0,0.0,0
2022-12-27,35,28,31.5,-4.1,33,0,0.0,0.0,0
2022-12-28,45,27,36.0,0.6,29,0,0.0,0.0,0
2022-12-29,46,32,39.0,3.8,26,0,0.0,0.0,0
2022-12-30,51,34,42.5,7.5,22,0,0.0,T,0
2022-12-31,51,41,46.0,11.2,19,0,0.27,0.0,0
2022-11-01,70,59,64.5,13.0,0,0,0.21,0.0,0
2022-11-02,72,50,61.0,9.8,4,0,0.0,0.0,0
2022-11-03,66,46,56.0,5.2,9,0,0.0,0.0,0
2022-11-04,68,47,57.5,7.0,7,0,0.0,0.0,0
2022-11-05,73,60,66.5,16.4,0,2,0.0,0.0,0
2022-11-06,70,64,67.0,17.2,0,2,0.0,0.0,0
2022-11-07,80,55,67.5,18.0,0,3,0.0,0.0,0
2022-11-08,60,46,53.0,3.9,12,0,0.0,0.0,0
2022-11-09,53,39,46.0,-2.8,19,0,0.0,0.0,0
2022-11-10,64,42,53.0,4.5,12,0,0.0,0.0,0
