Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-04-01,61,49,55.0,9.2,10,0,0.22,0.0,0
2023-04-02,52,37,44.5,-1.7,20,0,0.0,0.0,0
2023-04-03,53,33,43.0,-3.5,22,0,0.0,0.0,0
2023-04-04,64,43,53.5,6.7,11,0,0.0,0.0,0
2023-04-05,54,48,51.0,3.8,14,0,T,0.0,0
2023-04-06,74,48,61.0,13.5,4,0,0.02,0.0,0
2023-04-07,58,43,50.5,2.6,14,0,0.0,0.0,0
2023-04-08,51,38,44.5,-3.7,20,0,0.0,0.0,0
2023-04-09,51,38,44.5,-4.1,20,0,0.0,0.0,0
2023-04-10,58,38,48.0,-0.9,17,0,0.0,0.0,0
2023-04-11,73,45,59.0,9.7,6,0,0.0,0.0,0
2023-04-12,84,56,70.0,20.3,0,5,0.0,0.0,0
2023-04-13,85,53,69.0,19.0,0,4,0.0,0.0,0
2023-04-14,82,55,68.5,18.1,0,4,0.0,0.0,0
2023-04-15,65,54,59.5,8.8,5,0,0.02,0.0,0
2023-04-16,66,52,59.0,7.9,6,0,0.0,0.0,0
2023-04-17,67,53,60.0,8.6,5,0,0.01,0.0,0
2023-04-18,58,45,51.5,-0.3,13,0,0.0,0.0,0
2023-04-19,64,43,53.5,1.4,11,0,0.0,0.0,0
2023-04-20,59,43,51.0,-1.5,14,0,T,0.0,0
2023-04-21,66,47,56.5,3.7,8,0,0.0,0.0,0
2023-04-22,65,53,59.0,5.9,6,0,1.02,0.0,0
2023-04-23,69,51,60.0,6.5,5,0,1.26,0.0,0
2023-04-24,59,44,51.5,-2.3,13,0,0.0,0.0,0
2023-04-25,58,45,51.5,-2.6,13,0,0.0,0.0,0
2023-04-26,56,42,49.0,-5.5,16,0,0.0,0.0,0
2023-04-27,57,48,52.5,-2.3,12,0,T,0.0,0
2023-04-28,54,46,50.0,-5.1,15,0,0.37,0.0,0
2023-04-29,52,48,50.0,-5.4,15,0,1.75,0.0,0
2023-04-30,59,50,54.5,-1.2,10,0,1.36,0.0,0
