Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-12-01,44,35,39.5,-2.6,25,0,0.0,0.0,0
2022-12-02,45,31,38.0,-3.8,27,0,0.0,0.0,0
2022-12-03,57,44,50.5,9.0,14,0,0.23,0.0,0
2022-12-04,47,37,42.0,0.7,23,0,0.0,0.0,0
2022-12-05,47,30,38.5,-2.5,26,0,0.0,0.0,0
2022-12-06,57,36,46.5,5.8,18,0,0.43,0.0,0
2022-12-07,57,54,55.5,15.0,9,0,0.31,0.0,0
2022-12-08,55,42,48.5,8.3,16,0,0.0,0.0,0
2022-12-09,47,34,40.5,0.6,24,0,0.0,0.0,0
2022-12-10,39,32,35.5,-4.2,29,0,0.0,0.0,0
2022-12-11,41,33,37.0,-2.4,28,0,0.18,0.0,0
2022-12-12,40,29,34.5,-4.7,30,0,0.03,0.0,0
2022-12-13,42,27,34.5,-4.4,30,0,0.0,0.0,0
2022-12-14,40,30,35.0,-3.6,30,0,0.0,0.0,0
2022-12-15,43,32,37.5,-0.9,27,0,0.6,0.0,0
2022-12-16,47,38,42.5,4.3,22,0,0.68,0.0,0
2022-12-17,47,36,41.5,3.6,23,0,0.0,0.0,0
2022-12-18,41,33,37.0,-0.7,28,0,0.0,0.0,0
2022-12-19,40,31,35.5,-1.9,29,0,0.0,0.0,0
2022-12-20,40,30,35.0,-2.2,30,0,0.0,0.0,0
2022-12-21,41,25,33.0,-3.9,32,0,0.0,0.0,0
2022-12-22,53,28,40.5,3.8,24,0,0.14,0.0,0
2022-12-23,56,9,32.5,-4.0,32,0,0.3,0.0,0
2022-12-24,16,7,11.5,-24.8,53,0,T,0.0,0
2022-12-25,28,14,21.0,-15.0,44,0,0.0,0.0,0
2022-12-26,29,18,23.5,-12.3,41,0,0.0,0.0,0
2022-12-27,35,28,31.5,-4.1,33,0,0.0,0.0,0
2022-12-28,45,27,36.0,0.6,29,0,0.0,0.0,0
2022-12-29,46,32,39.0,3.8,26,0,0.0,0.0,0
2022-12-30,51,34,42.5,7.5,22,0,0.0,T,0
2022-12-31,51,41,46.0,11.2,19,0,0.27,0.0,0
