Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-02-01,38,26,32.0,-0.5,33,0,0.02,0.2,T
2023-02-02,39,24,31.5,-1.1,33,0,0.0,0.0,0
2023-02-03,35,11,23.0,-9.7,42,0,0.0,0.0,0
2023-02-04,27,4,15.5,-17.3,49,0,0.0,0.0,0
2023-02-05,44,27,35.5,2.6,29,0,0.0,0.0,0
2023-02-06,53,32,42.5,9.4,22,0,0.0,0.0,0
2023-02-07,41,28,34.5,1.3,30,0,0.02,0.0,0
2023-02-08,54,34,44.0,10.7,21,0,0.01,0.0,0
2023-02-09,50,30,40.0,6.5,25,0,0.0,0.0,0
2023-02-10,60,41,50.5,16.9,14,0,0.0,0.0,0
2023-02-11,47,35,41.0,7.2,24,0,0.0,0.0,0
2023-02-12,45,31,38.0,4.0,27,0,0.04,T,0
2023-02-13,56,38,47.0,12.9,18,0,T,0.0,0
2023-02-14,53,41,47.0,12.7,18,0,0.0,0.0,0
2023-02-15,55,41,48.0,13.5,17,0,0.0,0.0,0
2023-02-16,64,43,53.5,18.8,11,0,0.08,0.0,0
2023-02-17,56,31,43.5,8.6,21,0,0.37,0.0,0
2023-02-18,42,28,35.0,0.0,30,0,0.0,0.0,0
2023-02-19,46,32,39.0,3.8,26,0,0.0,0.0,0
2023-02-20,61,40,50.5,15.1,14,0,0.0,0.0,0
2023-02-21,49,36,42.5,6.9,22,0,0.19,0.0,0
2023-02-22,44,35,39.5,3.6,25,0,0.17,T,0
2023-02-23,44,38,41.0,4.9,24,0,0.03,0.0,0
2023-02-24,48,25,36.5,0.2,28,0,T,0.0,0
2023-02-25,33,22,27.5,-9.0,37,0,T,T,0
2023-02-26,50,23,36.5,-0.2,28,0,0.0,0.0,0
2023-02-27,43,31,37.0,0.1,28,0,0.32,1.0,0
2023-02-28,38,32,35.0,-2.1,30,0,0.29,0.5,2
