Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-01-01,56,42,49.0,14.4,16,0,T,0.0,0
2023-01-02,55,39,47.0,12.6,18,0,0.02,0.0,0
2023-01-03,50,46,48.0,13.8,17,0,0.36,0.0,0
2023-01-04,61,45,53.0,19.0,12,0,0.01,0.0,0
2023-01-05,51,45,48.0,14.1,17,0,0.05,0.0,0
2023-01-06,47,39,43.0,9.3,22,0,0.25,0.0,0
2023-01-07,47,36,41.5,8.0,23,0,0.0,0.0,0
2023-01-08,41,32,36.5,3.1,28,0,0.0,0.0,0
2023-01-09,46,37,41.5,8.3,23,0,0.02,0.0,0
2023-01-10,41,35,38.0,4.9,27,0,0.0,0.0,0
2023-01-11,40,32,36.0,3.0,29,0,0.0,0.0,0
2023-01-12,53,36,44.5,11.6,20,0,0.27,0.0,0
2023-01-13,52,38,45.0,12.3,20,0,0.03,0.0,0
2023-01-14,38,30,34.0,1.4,31,0,T,0.0,0
2023-01-15,39,29,34.0,1.4,31,0,T,0.0,0
2023-01-16,48,29,38.5,6.0,26,0,0.0,0.0,0
2023-01-17,45,31,38.0,5.6,27,0,T,0.0,0
2023-01-18,56,37,46.5,14.2,18,0,T,0.0,0
2023-01-19,45,37,41.0,8.7,24,0,0.96,0.0,0
2023-01-20,50,39,44.5,12.3,20,0,0.0,0.0,0
2023-01-21,43,36,39.5,7.3,25,0,T,0.0,0
2023-01-22,40,36,38.0,5.8,27,0,0.47,0.0,0
2023-01-23,39,35,37.0,4.8,28,0,0.24,0.0,0
2023-01-24,48,35,41.5,9.3,23,0,0.0,0.0,0
2023-01-25,52,31,41.5,9.3,23,0,0.97,0.0,0
2023-01-26,52,40,46.0,13.8,19,0,0.23,0.0,0
2023-01-27,43,32,37.5,5.3,27,0,0.0,0.0,0
2023-01-28,53,33,43.0,10.7,22,0,0.0,0.0,0
2023-01-29,47,35,41.0,8.7,24,0,T,0.0,0
2023-01-30,52,36,44.0,11.6,21,0,0.0,T,0
2023-01-31,45,31,38.0,5.5,27,0,0.03,T,0
