Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2023-03-01,43,29,36.0,-1.4,29,0,0.02,0.0,T
2023-03-02,55,39,47.0,9.4,18,0,T,0.0,0
2023-03-03,45,32,38.5,0.7,26,0,0.11,0.0,0
2023-03-04,46,39,42.5,4.5,22,0,0.83,0.0,0
2023-03-05,56,36,46.0,7.7,19,0,0.0,0.0,0
2023-03-06,54,39,46.5,8.0,18,0,0.0,0.0,0
2023-03-07,48,32,40.0,1.3,25,0,0.08,0.0,0
2023-03-08,47,30,38.5,-0.5,26,0,0.0,0.0,0
2023-03-09,51,33,42.0,2.8,23,0,0.0,0.0,0
2023-03-10,45,33,39.0,-0.5,26,0,0.37,0.0,0
2023-03-11,44,35,39.5,-0.2,25,0,0.46,0.0,0
2023-03-12,46,32,39.0,-1.0,26,0,0.0,0.0,0
2023-03-13,43,38,40.5,0.3,24,0,1.1,0.0,0
2023-03-14,39,33,36.0,-4.5,29,0,0.08,0.0,0
2023-03-15,47,34,40.5,-0.2,24,0,0.0,0.0,0
2023-03-16,55,32,43.5,2.5,21,0,0.0,0.0,0
2023-03-17,56,39,47.5,6.2,17,0,T,0.0,0
2023-03-18,52,41,46.5,5.0,18,0,0.02,0.0,0
2023-03-19,41,30,35.5,-6.3,29,0,0.0,0.0,0
2023-03-20,44,31,37.5,-4.6,27,0,0.0,0.0,0
2023-03-21,58,32,45.0,2.6,20,0,0.0,0.0,0
2023-03-22,55,36,45.5,2.8,19,0,0.0,0.0,0
2023-03-23,59,43,51.0,8.0,14,0,0.08,0.0,0
2023-03-24,57,41,49.0,5.7,16,0,0.01,0.0,0
2023-03-25,45,39,42.0,-1.6,23,0,0.1,0.0,0
2023-03-26,62,43,52.5,8.6,12,0,T,0.0,0
2023-03-27,57,39,48.0,3.8,17,0,0.16,0.0,0
2023-03-28,52,39,45.5,1.0,19,0,0.02,0.0,0
2023-03-29,51,36,43.5,-1.3,21,0,T,0.0,0
2023-03-30,46,31,38.5,-6.7,26,0,0.02,0.0,0
2023-03-31,53,29,41.0,-4.5,24,0,0.0,T,0
