Date,Maximum Temperature,Minimum Temperature,Average Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-11-01,70,59,64.5,13.0,0,0,0.21,0.0,0
2022-11-02,72,50,61.0,9.8,4,0,0.0,0.0,0
2022-11-03,66,46,56.0,5.2,9,0,0.0,0.0,0
2022-11-04,68,47,57.5,7.0,7,0,0.0,0.0,0
2022-11-05,73,60,66.5,16.4,0,2,0.0,0.0,0
2022-11-06,70,64,67.0,17.2,0,2,0.0,0.0,0
2022-11-07,80,55,67.5,18.0,0,3,0.0,0.0,0
2022-11-08,60,46,53.0,3.9,12,0,0.0,0.0,0
2022-11-09,53,39,46.0,-2.8,19,0,0.0,0.0,0
2022-11-10,64,42,53.0,4.5,12,0,0.0,0.0,0
2022-11-11,68,56,62.0,13.8,3,0,0.51,0.0,0
2022-11-12,72,60,66.0,18.2,0,1,0.06,0.0,0
2022-11-13,61,42,51.5,4.0,13,0,0.09,0.0,0
2022-11-14,47,35,41.0,-6.2,24,0,0.0,0.0,0
2022-11-15,46,33,39.5,-7.4,25,0,0.43,0.0,0
2022-11-16,53,41,47.0,0.4,18,0,0.2,0.0,0
2022-11-17,47,38,42.5,-3.8,22,0,0.0,0.0,0
2022-11-18,46,35,40.5,-5.4,24,0,0.01,0.0,0
2022-11-19,41,32,36.5,-9.1,28,0,0.0,0.0,0
2022-11-20,44,30,37.0,-8.3,28,0,0.0,0.0,0
2022-11-21,42,28,35.0,-10.0,30,0,0.0,0.0,0
2022-11-22,50,37,43.5,-1.2,21,0,0.0,0.0,0
2022-11-23,57,34,45.5,1.1,19,0,0.0,0.0,0
2022-11-24,53,33,43.0,-1.1,22,0,0.0,0.0,0
2022-11-25,55,44,49.5,5.7,15,0,0.02,0.0,0
2022-11-26,57,43,50.0,6.5,15,0,0.0,0.0,0
2022-11-27,60,42,51.0,7.8,14,0,0.56,0.0,0
2022-11-28,56,41,48.5,5.5,16,0,0.0,0.0,0
2022-11-29,44,34,39.0,-3.7,26,0,0.0,0.0,0
2022-11-30,58,35,46.5,4.1,18,0,0.34,0.0,0
