Yr,M,D,HH,MM,Boro,Vol
2023,3,28,18,15,Bronx,1116
2023,3,28,18,30,Bronx,1041
2023,3,28,18,45,Bronx,982
2023,3,28,19,0,Bronx,883
2023,3,28,19,15,Bronx,886
2023,3,28,19,30,Bronx,707
2023,3,28,19,45,Bronx,709
2023,3,28,20,0,Bronx,660
2023,3,28,20,15,Bronx,667
2023,3,28,20,30,Bronx,606
2023,3,28,20,45,Bronx,539
2023,3,28,21,0,Bronx,593
2023,3,28,21,15,Bronx,591
2023,3,28,21,30,Bronx,494
2023,3,28,21,45,Bronx,482
2023,3,28,22,0,Bronx,485
2023,3,28,22,15,Bronx,451
2023,3,28,22,30,Bronx,448
2023,3,28,22,45,Bronx,411
2023,3,28,23,0,Bronx,390
2023,3,28,23,15,Bronx,336
2023,3,28,23,30,Bronx,363
2023,3,28,23,45,Bronx,341
2023,3,29,0,0,Bronx,283
2023,3,29,0,15,Bronx,299
2023,3,29,0,30,Bronx,243
2023,3,29,0,45,Bronx,192
2023,3,29,1,0,Bronx,177
2023,3,29,1,15,Bronx,178
2023,3,29,1,30,Bronx,144
2023,3,29,1,45,Bronx,119
2023,3,29,2,0,Bronx,112
2023,3,29,2,15,Bronx,97
2023,3,29,2,30,Bronx,96
2023,3,29,2,45,Bronx,104
2023,3,29,3,0,Bronx,95
2023,3,29,3,15,Bronx,93
2023,3,29,3,30,Bronx,84
2023,3,29,3,45,Bronx,96
2023,1,6,0,0,Brooklyn,81
2023,1,6,0,15,Brooklyn,67
2023,1,6,0,30,Brooklyn,48
2023,1,6,0,45,Brooklyn,41
2023,1,6,1,0,Brooklyn,42
2023,1,6,1,15,Brooklyn,60
2023,1,6,1,30,Brooklyn,30
2023,1,6,1,45,Brooklyn,40
2023,1,6,2,0,Brooklyn,23
2023,1,6,2,15,Brooklyn,35
2023,1,6,2,30,Brooklyn,25
2023,1,6,2,45,Brooklyn,31
2023,1,6,3,0,Brooklyn,13
2023,1,6,3,15,Brooklyn,33
2023,1,6,3,30,Brooklyn,35
2023,1,6,3,45,Brooklyn,23
2023,1,6,4,0,Brooklyn,31
